idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3317;JAWA TENGAH;REMBANG ;15.7;0.17;0.01;43.6434024189939;41.77894093497455
3318;JAWA TENGAH;PATI ;15.52;0.15;0.0;45.7853871771216;41.5644817581937
3319;JAWA TENGAH;KUDUS ;21.24;0.27;0.01;46.4931912992498;44.72477989078087
3320;JAWA TENGAH;JEPARA ;16.18;0.29;0.14;44.6139474112761;43.075797740636744
3321;JAWA TENGAH;DEMAK ;19.53;0.09;0.07;46.1908035124149;43.35028132882329
3322;JAWA TENGAH;SEMARANG ;20.53;0.44;0.03;46.2469758992183;45.28914213629142
3323;JAWA TENGAH;TEMANGGUNG ;21.69;0.29;0.01;41.2601702959572;45.0200950995081
3324;JAWA TENGAH;KENDAL ;19.29;0.37;0.13;47.6820934973547;44.802362458147634
3325;JAWA TENGAH;BATANG ;16.14;0.16;0.01;41.5888266230992;41.928262004347474
3326;JAWA TENGAH;PEKALONGAN ;23.46;0.17;0.02;43.4007682790322;45.28415821145577
3327;JAWA TENGAH;PEMALANG ;15.0;0.21;0.06;40.745865394616;41.85364507475107
3328;JAWA TENGAH;TEGAL ;19.09;0.49;0.17;40.4690318165232;45.43804584407813
3329;JAWA TENGAH;BREBES ;16.79;0.19;0.1;41.1915095277185;42.717566184562095
3371;JAWA TENGAH;MAGELANG KOTA;30.36;1.06;0.13;60.0934994855793;53.00120333743796
3373;JAWA TENGAH;SALATIGA KOTA;27.3;0.18;0.15;55.0124860532213;47.56260176197938
3374;JAWA TENGAH;SEMARANG KOTA;16.3;1.78;0.2;54.1196165740219;50.396957163473985
3375;JAWA TENGAH;PEKALONGAN KOTA;22.18;0.93;0.18;47.886910514374;48.933461958661624
3376;JAWA TENGAH;TEGAL KOTA;25.45;2.17;0.09;48.9590968065702;55.886133380784784
3401;DI YOGYAKARTA;KULON PROGO ;20.26;0.26;0.05;48.2647646979857;44.39883811196166
3402;DI YOGYAKARTA;BANTUL ;18.65;0.61;0.26;50.584839780664;46.165157833957295
3403;DI YOGYAKARTA;GUNUNG KIDUL ;15.96;0.23;0.07;43.9319482716697;42.416440139523644
3404;DI YOGYAKARTA;SLEMAN ;15.48;0.51;0.1;54.0159325311577;43.64217566931363
3471;DI YOGYAKARTA;YOGYAKARTA KOTA;20.91;0.87;0.06;62.242112622301;47.60658178499816
3501;JAWA TIMUR;PACITAN ;18.43;0.41;0.03;42.299277164753;44.20978645090801
3502;JAWA TIMUR;PONOROGO ;15.53;0.15;0.06;44.8177588279686;41.807278255523805
3503;JAWA TIMUR;TRENGGALEK ;18.28;0.19;0.06;42.0635389872519;43.22408994577913
3504;JAWA TIMUR;TULUNGAGUNG ;24.08;0.11;0.07;45.2090355198241;45.476592871865975
3505;JAWA TIMUR;BLITAR ;17.84;0.2;0.06;44.1489527349471;43.07476887640621
3506;JAWA TIMUR;KEDIRI ;19.87;0.33;0.11;44.2526533931087;44.79323350806314
3507;JAWA TIMUR;MALANG ;16.8;0.24;0.07;42.0597153406029;42.838747194034575
3508;JAWA TIMUR;LUMAJANG ;18.02;0.37;0.03;41.3038193272401;43.83798242462785
3509;JAWA TIMUR;JEMBER ;16.87;0.28;0.04;40.0461457656555;42.93954717360195
3510;JAWA TIMUR;BANYUWANGI ;16.77;0.41;0.12;46.3505230161162;43.82595220666454
3511;JAWA TIMUR;BONDOWOSO ;19.65;0.14;0.04;38.5864002178777;43.52058663019204
3512;JAWA TIMUR;SITUBONDO ;18.31;0.34;0.09;39.5228507819834;44.06429427942109
3513;JAWA TIMUR;PROBOLINGGO ;16.57;0.07;0.1;40.6312851500403;42.053204422223715
3514;JAWA TIMUR;PASURUAN ;17.24;0.23;0.05;41.670517054503;42.908624712536735
3515;JAWA TIMUR;SIDOARJO ;22.66;0.83;0.11;52.262726348138;48.39800909494889
3516;JAWA TIMUR;MOJOKERTO ;15.45;0.2;0.06;47.2577066314414;42.00743198884183
3517;JAWA TIMUR;JOMBANG ;23.03;0.2;0.04;48.3620441731255;45.31309873409575
3518;JAWA TIMUR;NGANJUK ;18.13;0.25;0.09;46.7313112716955;43.559324190590544
3519;JAWA TIMUR;MADIUN ;17.2;0.11;0.09;46.3036906573202;42.48353525686103
3520;JAWA TIMUR;MAGETAN ;17.1;0.14;0.11;46.9789904854896;42.659848655189826
3521;JAWA TIMUR;NGAWI ;18.91;0.06;0.09;44.3445073276671;43.01131421255135
3522;JAWA TIMUR;BOJONEGORO ;15.71;0.17;0.02;43.5864636602263;41.82312855512777
3523;JAWA TIMUR;TUBAN ;16.41;0.31;0.14;43.4440733676762;43.27286436557143
3524;JAWA TIMUR;LAMONGAN ;18.82;0.13;0.07;46.6624939104539;43.221910746705085
3525;JAWA TIMUR;GRESIK ;15.06;0.32;0.07;46.9870280524544;42.43909899882719
3526;JAWA TIMUR;BANGKALAN ;17.6;0.22;0.06;35.8534807286836;43.0619407996023
3527;JAWA TIMUR;SAMPANG ;16.54;0.25;0.03;33.1172440820269;42.61092422784131
3528;JAWA TIMUR;PAMEKASAN ;15.23;0.2;0.09;38.6541577478181;42.02834873135543
3529;JAWA TIMUR;SUMENEP ;16.45;0.09;0.08;36.9471640204071;42.01452293116316
3571;JAWA TIMUR;KEDIRI KOTA;25.19;1.0;0.06;55.1176519304198;50.13125260099278
3572;JAWA TIMUR;BLITAR KOTA;29.76;1.36;0.15;59.4320766708168;54.22797915160277
3573;JAWA TIMUR;MALANG KOTA;14.44;1.14;0.04;55.9610477393423;45.91149135341141
3574;JAWA TIMUR;PROBOLINGGO KOTA;24.2;0.65;0.08;48.8623567556478;48.11741408737175
3575;JAWA TIMUR;PASURUAN KOTA;19.82;1.39;0.15;48.1382895001684;49.9304577967037
3576;JAWA TIMUR;MOJOKERTO KOTA;24.12;0.46;0.05;54.6355795051326;47.06617613729196
