idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3512;JAWA TIMUR;SITUBONDO ;18.31;0.34;0.09;39.5228507819834;28.56591
3513;JAWA TIMUR;PROBOLINGGO ;16.57;0.07;0.1;40.6312851500403;28.56591
3514;JAWA TIMUR;PASURUAN ;17.24;0.23;0.05;41.670517054503;28.56591
3515;JAWA TIMUR;SIDOARJO ;22.66;0.83;0.11;52.262726348138;29.9935
3516;JAWA TIMUR;MOJOKERTO ;15.45;0.2;0.06;47.2577066314414;28.56591
3517;JAWA TIMUR;JOMBANG ;23.03;0.2;0.04;48.3620441731255;28.56591
3518;JAWA TIMUR;NGANJUK ;18.13;0.25;0.09;46.7313112716955;28.56591
3519;JAWA TIMUR;MADIUN ;17.2;0.11;0.09;46.3036906573202;28.56591
3520;JAWA TIMUR;MAGETAN ;17.1;0.14;0.11;46.9789904854896;28.56591
3521;JAWA TIMUR;NGAWI ;18.91;0.06;0.09;44.3445073276671;28.56591
3522;JAWA TIMUR;BOJONEGORO ;15.71;0.17;0.02;43.5864636602263;28.56591
3523;JAWA TIMUR;TUBAN ;16.41;0.31;0.14;43.4440733676762;28.56591
3524;JAWA TIMUR;LAMONGAN ;18.82;0.13;0.07;46.6624939104539;28.56591
3525;JAWA TIMUR;GRESIK ;15.06;0.32;0.07;46.9870280524544;28.56591
3526;JAWA TIMUR;BANGKALAN ;17.6;0.22;0.06;35.8534807286836;28.56591
3527;JAWA TIMUR;SAMPANG ;16.54;0.25;0.03;33.1172440820269;28.56591
3528;JAWA TIMUR;PAMEKASAN ;15.23;0.2;0.09;38.6541577478181;28.56591
3529;JAWA TIMUR;SUMENEP ;16.45;0.09;0.08;36.9471640204071;28.56591
3571;JAWA TIMUR;KEDIRI KOTA;25.19;1.0;0.06;55.1176519304198;29.9935
3572;JAWA TIMUR;BLITAR KOTA;29.76;1.36;0.15;59.4320766708168;29.9935
3573;JAWA TIMUR;MALANG KOTA;14.44;1.14;0.04;55.9610477393423;29.9935
3574;JAWA TIMUR;PROBOLINGGO KOTA;24.2;0.65;0.08;48.8623567556478;28.56591
3575;JAWA TIMUR;PASURUAN KOTA;19.82;1.39;0.15;48.1382895001684;29.9935
3576;JAWA TIMUR;MOJOKERTO KOTA;24.12;0.46;0.05;54.6355795051326;28.56591
3577;JAWA TIMUR;MADIUN KOTA;20.24;0.69;0.16;57.4479253726536;29.9935
3579;JAWA TIMUR;BATU KOTA;9.5;0.68;0.11;49.9517747712948;29.9935
3601;BANTEN;PANDEGLANG ;14.05;0.07;0.05;33.4380850434393;28.56591
3602;BANTEN;LEBAK ;16.8;0.25;0.11;34.6552298826981;28.56591
3603;BANTEN;TANGERANG ;19.64;0.89;0.14;43.155368524313;29.9935
3604;BANTEN;SERANG ;16.1;0.91;0.15;36.0995382210882;29.9935
3671;BANTEN;TANGERANG KOTA;15.73;2.6;0.25;51.3794633045164;29.9935
3672;BANTEN;CILEGON KOTA;16.07;0.7;0.31;49.7351581424193;29.9935
3673;BANTEN;SERANG KOTA;9.2;1.9;0.09;41.9288275114742;29.9935
3674;BANTEN;TANGERANG SELATAN KOTA;18.21;4.59;0.16;53.1882799990445;29.9935
5101;BALI;JEMBRANA ;17.25;0.37;0.02;51.078854438416;28.56591
5102;BALI;TABANAN ;21.74;0.47;0.02;53.8909701596574;28.56591
5103;BALI;BADUNG ;17.5;1.45;0.07;60.4773135323633;29.9935
5104;BALI;GIANYAR ;23.94;0.16;0.05;55.9314118221992;28.56591
5105;BALI;KLUNGKUNG ;27.01;0.77;0.03;49.6945255657021;29.9935
5106;BALI;BANGLI ;27.91;0.34;0.01;46.7560166086428;28.56591
5107;BALI;KARANGASEM ;18.33;0.66;0.03;45.7546902317437;29.9935
5108;BALI;BULELENG ;19.94;0.71;0.03;46.5982809772206;29.9935
5201;NUSA TENGGARA BARAT;LOMBOK BARAT ;19.44;0.45;0.11;41.8071492480854;28.56591
5202;NUSA TENGGARA BARAT;LOMBOK TENGAH ;13.32;0.15;0.03;38.6427021109909;28.56591
5203;NUSA TENGGARA BARAT;LOMBOK TIMUR ;19.18;0.21;0.01;41.5452527860124;28.56591
5204;NUSA TENGGARA BARAT;SUMBAWA ;23.74;0.36;0.15;46.3365265943504;28.56591
5205;NUSA TENGGARA BARAT;DOMPU ;16.73;0.27;0.03;45.7949889806467;28.56591
5206;NUSA TENGGARA BARAT;BIMA ;16.94;0.08;0.11;45.770184270437;28.56591
5207;NUSA TENGGARA BARAT;SUMBAWA BARAT ;13.5;0.19;0.19;55.4549980896094;28.56591
5208;NUSA TENGGARA BARAT;LOMBOK UTARA ;19.87;1.08;0.03;36.8861537257051;29.9935
5271;NUSA TENGGARA BARAT;MATARAM KOTA;22.32;1.67;0.05;54.0152544703811;29.9935
5272;NUSA TENGGARA BARAT;BIMA KOTA;18.85;0.43;0.12;51.8230900433084;28.56591
5301;NUSA TENGGARA TIMUR;SUMBA BARAT ;22.42;0.23;0.08;35.260585403448;28.56591
5302;NUSA TENGGARA TIMUR;SUMBA TIMUR ;19.03;0.01;0.17;36.5280022118677;28.56591
5303;NUSA TENGGARA TIMUR;KUPANG ;15.69;0.07;0.16;36.8907231568429;28.56591
5304;NUSA TENGGARA TIMUR;TIMOR TENGAH SELATAN ;19.52;0.13;0.01;30.2467114002083;28.56591
5305;NUSA TENGGARA TIMUR;TIMOR TENGAH UTARA ;22.2;0.33;0.04;40.9457253160601;28.56591
5306;NUSA TENGGARA TIMUR;BELU ;22.12;0.41;0.2;41.2440516795423;28.56591
