idkab;nmprov;nmkab;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3324;JAWA TENGAH;KENDAL ;0.11;19.29;0.22;0.37;0.13;47.6820934973547;44.915868385505675
3325;JAWA TENGAH;BATANG ;0.05;16.14;0.19;0.16;0.01;41.5888266230992;41.91526763123681
3326;JAWA TENGAH;PEKALONGAN ;0.06;23.46;0.06;0.17;0.02;43.4007682790322;45.467403865102625
3327;JAWA TENGAH;PEMALANG ;0.12;15.0;0.15;0.21;0.06;40.745865394616;41.99132457531062
3328;JAWA TENGAH;TEGAL ;0.09;19.09;0.01;0.49;0.17;40.4690318165232;45.99588415603806
3329;JAWA TENGAH;BREBES ;0.1;16.79;0.1;0.19;0.1;41.1915095277185;43.01914531077878
3371;JAWA TENGAH;MAGELANG KOTA;0.1;30.36;0.2;1.06;0.13;60.0934994855793;53.01319966363408
3373;JAWA TENGAH;SALATIGA KOTA;0.07;27.3;0.14;0.18;0.15;55.0124860532213;47.8349243466265
3374;JAWA TENGAH;SEMARANG KOTA;0.21;16.3;0.07;1.78;0.2;54.1196165740219;50.76443530173998
3375;JAWA TENGAH;PEKALONGAN KOTA;0.18;22.18;0.09;0.93;0.18;47.886910514374;49.27963284267854
3376;JAWA TENGAH;TEGAL KOTA;0.05;25.45;0.05;2.17;0.09;48.9590968065702;56.02146836037298
3401;DI YOGYAKARTA;KULON PROGO ;0.05;20.26;0.1;0.26;0.05;48.2647646979857;44.58684187242346
3402;DI YOGYAKARTA;BANTUL ;0.2;18.65;0.04;0.61;0.26;50.584839780664;46.80652919382955
3403;DI YOGYAKARTA;GUNUNG KIDUL ;0.14;15.96;0.12;0.23;0.07;43.9319482716697;42.61228061869513
3404;DI YOGYAKARTA;SLEMAN ;0.25;15.48;0.14;0.51;0.1;54.0159325311577;43.80432494737911
3471;DI YOGYAKARTA;YOGYAKARTA KOTA;0.23;20.91;0.08;0.87;0.06;62.242112622301;47.73004568154569
3501;JAWA TIMUR;PACITAN ;0.07;18.43;0.11;0.41;0.03;42.299277164753;44.331563504398694
3502;JAWA TIMUR;PONOROGO ;0.41;15.53;0.37;0.15;0.06;44.8177588279686;41.47087926842994
3503;JAWA TIMUR;TRENGGALEK ;1.01;18.28;0.11;0.19;0.06;42.0635389872519;43.13623266950873
3504;JAWA TIMUR;TULUNGAGUNG ;0.23;24.08;0.06;0.11;0.07;45.2090355198241;45.70840418754747
3505;JAWA TIMUR;BLITAR ;0.29;17.84;0.28;0.2;0.06;44.1489527349471;42.91370527152062
3506;JAWA TIMUR;KEDIRI ;0.2;19.87;0.16;0.33;0.11;44.2526533931087;44.94447439853293
3507;JAWA TIMUR;MALANG ;0.09;16.8;0.04;0.24;0.07;42.0597153406029;43.18415448638814
3508;JAWA TIMUR;LUMAJANG ;0.1;18.02;0.2;0.37;0.03;41.3038193272401;43.79894324976931
3509;JAWA TIMUR;JEMBER ;0.08;16.87;0.04;0.28;0.04;40.0461457656555;43.22397271169618
3510;JAWA TIMUR;BANYUWANGI ;0.09;16.77;0.1;0.41;0.12;46.3505230161162;44.149145158412864
3511;JAWA TIMUR;BONDOWOSO ;0.14;19.65;0.04;0.14;0.04;38.5864002178777;43.78182509339392
3512;JAWA TIMUR;SITUBONDO ;0.07;18.31;0.08;0.34;0.09;39.5228507819834;44.365833282176574
3513;JAWA TIMUR;PROBOLINGGO ;0.21;16.57;0.17;0.07;0.1;40.6312851500403;42.21081722828322
3514;JAWA TIMUR;PASURUAN ;0.06;17.24;0.13;0.23;0.05;41.670517054503;43.063530573317585
3515;JAWA TIMUR;SIDOARJO ;0.06;22.66;0.06;0.83;0.11;52.262726348138;48.701359341626336
3516;JAWA TIMUR;MOJOKERTO ;0.07;15.45;0.21;0.2;0.06;47.2577066314414;42.05326798162913
